Type,Instance,Radii,Lengths,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 2,Instance 56,[5.763],[12.0],479.07500000000016,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 57,[5.763],[12.0],429.07500000000005,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 58,[5.763],[12.0],379.07500000000005,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 59,[5.763],[12.0],329.07500000000005,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 60,[5.763],[12.0],279.07500000000005,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 61,[5.763],[12.0],229.07500000000005,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 62,[5.763],[12.0],179.07500000000005,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 63,[5.763],[12.0],129.07500000000005,0.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 64,[5.763],[12.0],529.075,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 65,[5.763],[12.0],479.07500000000016,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 66,[5.763],[12.0],429.07500000000005,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 67,[5.763],[12.0],379.07500000000005,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 68,[5.763],[12.0],329.07500000000005,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 69,[5.763],[12.0],279.07500000000005,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 70,[5.763],[12.0],229.07500000000005,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 71,[5.763],[12.0],179.07500000000005,0.0,129.075,0.0,1.0,0.0
Type 2,Instance 72,[5.763],[12.0],129.07500000000005,0.0,129.075,0.0,1.0,0.0
Type 3,Instance 1,[3.827],[12.0],1.4644660940672631,12.0,6.464466094067264,0.0,-1.0,0.0
Type 3,Instance 2,[3.827],[12.0],643.5355339059327,12.0,1.4644660940672622,0.0,-1.0,0.0
Type 3,Instance 3,[3.827],[12.0],648.5355339059328,12.0,393.53553390593277,0.0,-1.0,0.0
Type 3,Instance 4,[3.827],[12.0],6.464466094067308,12.0,398.53553390593277,0.0,-1.0,0.0
Type 4,Instance 1,[2.404],[25.0],26.700000000000035,80.3,45.0,0.0,0.0,-1.0
Type 4,Instance 2,[2.404],[25.0],26.70000000000002,246.15786437626915,45.0,0.0,0.0,-1.0
Type 4,Instance 3,[2.404],[25.0],23.30000000000004,471.9999999999999,301.7,0.0,1.0,0.0
Type 4,Instance 4,[2.404],[25.0],23.300000000000075,385.6202489423192,128.9755880016466,0.0,0.707106781186547,-0.7071067811865481
Type 4,Instance 5,[2.404],[25.0],26.700000000000085,36.999999999999964,76.70000000000002,0.0,-1.0,0.0
Type 4,Instance 6,[2.404],[25.0],26.70000000000004,36.999999999999964,326.7,0.0,-1.0,0.0
Type 4,Instance 7,[2.404],[25.0],23.300000000000047,36.999999999999964,323.3,0.0,-1.0,0.0
