Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 2,Instance 58,5.7629,12.0,379.07500000000005,6.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 59,5.7629,12.0,329.07500000000005,6.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 60,5.7629,12.0,279.07500000000005,6.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 61,5.7629,12.0,229.07500000000005,6.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 62,5.7629,12.0,179.07500000000005,6.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 63,5.7629,12.0,129.07500000000005,6.0,179.07500000000005,0.0,1.0,0.0
Type 2,Instance 64,5.7629,12.0,529.075,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 65,5.7629,12.0,479.07500000000016,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 66,5.7629,12.0,429.07500000000005,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 67,5.7629,12.0,379.07500000000005,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 68,5.7629,12.0,329.07500000000005,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 69,5.7629,12.0,279.07500000000005,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 70,5.7629,12.0,229.07500000000005,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 71,5.7629,12.0,179.07500000000005,6.0,129.075,0.0,1.0,0.0
Type 2,Instance 72,5.7629,12.0,129.07500000000005,6.0,129.075,0.0,1.0,0.0
Type 3,Instance 2,3.8268,12.0,643.5355339059327,6.0,1.4644660940672622,0.0,-1.0,0.0
Type 3,Instance 3,3.8268,12.0,648.5355339059328,6.0,393.53553390593277,0.0,-1.0,0.0
Type 3,Instance 4,3.8268,12.0,6.464466094067308,6.0,398.53553390593277,0.0,-1.0,0.0
Type 4,Instance 5,2.4042,25.0,26.700000000000085,24.499999999999964,76.70000000000002,0.0,-1.0,0.0
Type 4,Instance 6,2.4042,25.0,26.70000000000004,24.499999999999964,326.7,0.0,-1.0,0.0
Type 4,Instance 7,2.4042,25.0,23.300000000000047,24.499999999999964,323.3,0.0,-1.0,0.0
Type 4,Instance 8,2.4042,25.0,23.30000000000007,24.499999999999964,73.29999999999998,0.0,-1.0,0.0
Type 4,Instance 17,2.4042,25.0,626.6999999999987,24.500000000021558,76.7000000000037,3.637978807091713e-14,-1.0,2.3874235921539365e-14
Type 4,Instance 18,2.4042,25.0,626.699999999997,24.50000000002767,326.7000000000037,2.7284841053187846e-14,-1.0,2.2737367544323207e-14
