Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 4,Instance 24,2.4042,25.0,623.2999999999971,83.70000000002042,32.50000000000222,9.094947017729286e-15,-2.4442670110147452e-14,-1.0
Type 5,Instance 1,4.4194,30.0,25.000000000000036,162.828797739065,229.26888296681852,1.0,0.0,0.0
Type 5,Instance 2,4.4194,30.0,25.000000000000036,58.43639320923947,67.80650394747714,1.0,0.0,0.0
Type 5,Instance 3,4.4194,30.0,25.000000000000036,88.50484549206664,264.508687911516,1.0,0.0,0.0
Type 5,Instance 4,4.4194,30.0,25.000000000000036,431.9327627713004,203.6399339161294,1.0,0.0,0.0
Type 5,Instance 5,4.4194,30.0,25.000000000000036,365.938218965776,282.4489522469984,1.0,0.0,0.0
Type 5,Instance 6,4.4194,30.0,25.000000000000036,187.17629933721963,295.90415049861014,1.0,0.0,0.0
Type 5,Instance 7,4.4194,30.0,25.000000000000036,238.43419743859783,67.80650394747714,1.0,0.0,0.0
Type 5,Instance 8,4.4194,30.0,25.000000000000036,419.76168774600154,339.93454030998186,1.0,0.0,0.0
Type 5,Instance 9,4.4194,30.0,25.000000000000036,426.01168774600154,333.68454030998186,1.0,0.0,0.0
Type 5,Instance 10,4.4194,30.0,25.000000000000036,244.68419743859783,61.55650394747717,1.0,0.0,0.0
Type 5,Instance 11,4.4194,30.0,25.000000000000036,193.42629933721963,289.65415049861014,1.0,0.0,0.0
Type 5,Instance 12,4.4194,30.0,25.000000000000036,372.188218965776,276.1989522469984,1.0,0.0,0.0
Type 5,Instance 13,4.4194,30.0,25.000000000000036,438.1827627713004,197.3899339161294,1.0,0.0,0.0
Type 5,Instance 14,4.4194,30.0,25.000000000000036,94.75484549206664,258.258687911516,1.0,0.0,0.0
Type 5,Instance 15,4.4194,30.0,25.000000000000036,64.68639320923944,61.55650394747717,1.0,0.0,0.0
Type 5,Instance 16,4.4194,30.0,25.000000000000036,169.078797739065,223.01888296681852,1.0,0.0,0.0
Type 5,Instance 17,4.4194,30.0,624.9999999999933,162.82879773909025,229.2688829668188,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 18,4.4194,30.0,624.9999999999977,58.4363932092608,67.80650394748001,1.0,3.150072795203111e-14,6.631732200427602e-15
Type 5,Instance 19,4.4194,30.0,624.9999999999955,88.50484549209277,264.5086879115181,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 5,Instance 20,4.4194,30.0,624.999999999985,431.93276277132514,203.63993391612308,1.0,3.410605131648481e-14,7.579122514774402e-15
Type 5,Instance 21,4.4194,30.0,624.9999999999866,365.93821896580266,282.4489522469937,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 5,Instance 22,4.4194,30.0,624.9999999999922,187.17629933724652,295.90415049860985,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 23,4.4194,30.0,624.999999999992,238.43419743861915,67.80650394747558,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 5,Instance 24,4.4194,30.0,624.9999999999845,419.76168774602957,339.9345403099759,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 25,4.4194,30.0,624.9999999999843,426.01168774602945,333.6845403099757,1.0,3.221127068779121e-14,3.789561257387201e-15
Type 5,Instance 26,4.4194,30.0,624.9999999999918,244.68419743861898,61.55650394747545,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 5,Instance 27,4.4194,30.0,624.9999999999919,193.42629933724638,289.6541504986097,1.0,3.221127068779121e-14,3.789561257387201e-15
Type 5,Instance 28,4.4194,30.0,624.9999999999864,372.18821896580243,276.19895224699354,1.0,3.031649005909761e-14,3.789561257387201e-15
Type 5,Instance 29,4.4194,30.0,624.9999999999848,438.182762771325,197.3899339161229,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 5,Instance 30,4.4194,30.0,624.9999999999952,94.75484549209263,258.2586879115179,1.0,3.126388037344441e-14,5.684341886080802e-15
Type 5,Instance 31,4.4194,30.0,624.9999999999975,64.68639320926061,61.55650394747988,1.0,3.173757553061781e-14,6.631732200427602e-15
Type 5,Instance 32,4.4194,30.0,624.9999999999931,169.0787977390901,223.01888296681864,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 6,Instance 1,2.9345,30.0,25.000000000000036,61.3630015363087,326.24961308570425,1.0,0.0,0.0
Type 6,Instance 2,2.9345,30.0,25.000000000000036,158.75300792892722,346.75277232625547,1.0,0.0,0.0
Type 6,Instance 3,2.9345,30.0,25.000000000000036,149.78287576118606,155.17637817235456,1.0,0.0,0.0
Type 6,Instance 4,2.9345,30.0,25.000000000000036,383.64703584872393,150.691312088484,1.0,0.0,0.0
Type 6,Instance 5,2.9345,30.0,25.000000000000036,109.41728100635072,53.94202942213269,1.0,0.0,0.0
Type 6,Instance 6,2.9345,30.0,25.000000000000036,47.90780328469691,168.63157642396635,1.0,0.0,0.0
Type 6,Instance 7,2.9345,30.0,25.000000000000036,234.99913135472724,198.1048678322588,1.0,0.0,0.0
Type 6,Instance 8,2.9345,30.0,25.000000000000036,263.19097531048527,355.08218076772937,1.0,0.0,0.0
Type 6,Instance 9,2.9345,30.0,25.000000000000036,267.34097531048525,350.9321807677294,1.0,0.0,0.0
Type 6,Instance 10,2.9345,30.0,25.000000000000036,239.14913135472722,193.95486783225883,1.0,0.0,0.0
Type 6,Instance 11,2.9345,30.0,25.000000000000036,52.05780328469689,164.48157642396637,1.0,0.0,0.0
